"","Truck_Name","Truck_Role","Tyre","Tyre_Type","Tyre_Coefficient"
"1","Ford CLT9000","Highway","UHD I","Asphalt",3
"2","Ford CLT9000","Highway","UHD I","Dirt",1
"3","Ford CLT9000","Highway","UHD I","Mud",0.4
"4","Ford CLT9000","Highway","UHD II","Asphalt",3
"5","Ford CLT9000","Highway","UHD II","Dirt",1.2
"6","Ford CLT9000","Highway","UHD II","Mud",0.2
"7","Ford CLT9000","Highway","UHD III","Asphalt",3.2
"8","Ford CLT9000","Highway","UHD III","Dirt",1
"9","Ford CLT9000","Highway","UHD III","Mud",0.2
"10","Ford CLT9000","Highway","UAD I","Asphalt",1.9
"11","Ford CLT9000","Highway","UAD I","Dirt",1.5
"12","Ford CLT9000","Highway","UAD I","Mud",1
"13","Ford CLT9000","Highway","UAD II","Asphalt",1.5
"14","Ford CLT9000","Highway","UAD II","Dirt",1.5
"15","Ford CLT9000","Highway","UAD II","Mud",1.2
"16","Ford CLT9000","Highway","UAD III","Asphalt",1.5
"17","Ford CLT9000","Highway","UAD III","Dirt",1.7
"18","Ford CLT9000","Highway","UAD III","Mud",1
"19","Ford CLT9000","Highway","UAD III Chains","Asphalt",1.2
"20","Ford CLT9000","Highway","UAD III Chains","Dirt",3
"21","Ford CLT9000","Highway","UAD III Chains","Mud",1.3
"22","Ford CLT9000","Highway","UOD I","Asphalt",1
"23","Ford CLT9000","Highway","UOD I","Dirt",3
"24","Ford CLT9000","Highway","UOD I","Mud",1.5
"25","Ford CLT9000","Highway","UOD II","Asphalt",0.8
"26","Ford CLT9000","Highway","UOD II","Dirt",3
"27","Ford CLT9000","Highway","UOD II","Mud",1.9
"28","Ford CLT9000","Highway","UOD III","Asphalt",0.8
"29","Ford CLT9000","Highway","UOD III","Dirt",3.2
"30","Ford CLT9000","Highway","UOD III","Mud",1.5
"31","GMC MH9500","Highway","UHD I","Asphalt",3
"32","GMC MH9500","Highway","UHD I","Dirt",1
"33","GMC MH9500","Highway","UHD I","Mud",0.4
"34","GMC MH9500","Highway","UHD II","Asphalt",3
"35","GMC MH9500","Highway","UHD II","Dirt",1.2
"36","GMC MH9500","Highway","UHD II","Mud",0.2
"37","GMC MH9500","Highway","UHD III","Asphalt",3.2
"38","GMC MH9500","Highway","UHD III","Dirt",1
"39","GMC MH9500","Highway","UHD III","Mud",0.2
"40","GMC MH9500","Highway","UAD I","Asphalt",1.9
"41","GMC MH9500","Highway","UAD I","Dirt",1.5
"42","GMC MH9500","Highway","UAD I","Mud",1
"43","GMC MH9500","Highway","UAD II","Asphalt",1.5
"44","GMC MH9500","Highway","UAD II","Dirt",1.5
"45","GMC MH9500","Highway","UAD II","Mud",1.2
"46","GMC MH9500","Highway","UAD III","Asphalt",1.5
"47","GMC MH9500","Highway","UAD III","Dirt",1.7
"48","GMC MH9500","Highway","UAD III","Mud",1
"49","GMC MH9500","Highway","UAD III Chains","Asphalt",1.2
"50","GMC MH9500","Highway","UAD III Chains","Dirt",3
"51","GMC MH9500","Highway","UAD III Chains","Mud",1.3
"52","GMC MH9500","Highway","UOD I","Asphalt",1
"53","GMC MH9500","Highway","UOD I","Dirt",3
"54","GMC MH9500","Highway","UOD I","Mud",1.5
"55","GMC MH9500","Highway","UOD II","Asphalt",0.8
"56","GMC MH9500","Highway","UOD II","Dirt",3
"57","GMC MH9500","Highway","UOD II","Mud",1.9
"58","GMC MH9500","Highway","UOD III","Asphalt",0.8
"59","GMC MH9500","Highway","UOD III","Dirt",3.2
"60","GMC MH9500","Highway","UOD III","Mud",1.5
"61","International Transtar 4070A","Highway","UHD I","Asphalt",3
"62","International Transtar 4070A","Highway","UHD I","Dirt",1
"63","International Transtar 4070A","Highway","UHD I","Mud",0.4
"64","International Transtar 4070A","Highway","UHD II","Asphalt",3
"65","International Transtar 4070A","Highway","UHD II","Dirt",1.2
"66","International Transtar 4070A","Highway","UHD II","Mud",0.2
"67","International Transtar 4070A","Highway","UHD III","Asphalt",3.2
"68","International Transtar 4070A","Highway","UHD III","Dirt",1
"69","International Transtar 4070A","Highway","UHD III","Mud",0.2
"70","International Transtar 4070A","Highway","UAD I","Asphalt",1.9
"71","International Transtar 4070A","Highway","UAD I","Dirt",1.5
"72","International Transtar 4070A","Highway","UAD I","Mud",1
"73","International Transtar 4070A","Highway","UAD II","Asphalt",1.5
"74","International Transtar 4070A","Highway","UAD II","Dirt",1.5
"75","International Transtar 4070A","Highway","UAD II","Mud",1.2
"76","International Transtar 4070A","Highway","UAD III","Asphalt",1.5
"77","International Transtar 4070A","Highway","UAD III","Dirt",1.7
"78","International Transtar 4070A","Highway","UAD III","Mud",1
"79","International Transtar 4070A","Highway","UAD III Chains","Asphalt",1.2
"80","International Transtar 4070A","Highway","UAD III Chains","Dirt",3
"81","International Transtar 4070A","Highway","UAD III Chains","Mud",1.3
"82","International Transtar 4070A","Highway","UOD I","Asphalt",1
"83","International Transtar 4070A","Highway","UOD I","Dirt",3
"84","International Transtar 4070A","Highway","UOD I","Mud",1.5
"85","International Transtar 4070A","Highway","UOD II","Asphalt",0.8
"86","International Transtar 4070A","Highway","UOD II","Dirt",3
"87","International Transtar 4070A","Highway","UOD II","Mud",1.9
"88","International Transtar 4070A","Highway","UOD III","Asphalt",0.8
"89","International Transtar 4070A","Highway","UOD III","Dirt",3.2
"90","International Transtar 4070A","Highway","UOD III","Mud",1.5
"91","Western Star 57X","Highway","UHD I","Asphalt",3
"92","Western Star 57X","Highway","UHD I","Dirt",1
"93","Western Star 57X","Highway","UHD I","Mud",0.4
"94","Western Star 57X","Highway","UHD II","Asphalt",3
"95","Western Star 57X","Highway","UHD II","Dirt",1.2
"96","Western Star 57X","Highway","UHD II","Mud",0.2
"97","Western Star 57X","Highway","UHD III","Asphalt",3.2
"98","Western Star 57X","Highway","UHD III","Dirt",1
"99","Western Star 57X","Highway","UHD III","Mud",0.2
"100","Western Star 57X","Highway","UAD I","Asphalt",1.9
"101","Western Star 57X","Highway","UAD I","Dirt",1.5
"102","Western Star 57X","Highway","UAD I","Mud",1
"103","Western Star 57X","Highway","UAD II","Asphalt",1.5
"104","Western Star 57X","Highway","UAD II","Dirt",1.5
"105","Western Star 57X","Highway","UAD II","Mud",1.2
"106","Western Star 57X","Highway","UAD III","Asphalt",1.5
"107","Western Star 57X","Highway","UAD III","Dirt",1.7
"108","Western Star 57X","Highway","UAD III","Mud",1
"109","Western Star 57X","Highway","UAD III Chains","Asphalt",1.2
"110","Western Star 57X","Highway","UAD III Chains","Dirt",3
"111","Western Star 57X","Highway","UAD III Chains","Mud",1.3
"112","Western Star 57X","Highway","UOD I","Asphalt",1
"113","Western Star 57X","Highway","UOD I","Dirt",3
"114","Western Star 57X","Highway","UOD I","Mud",1.5
"115","Western Star 57X","Highway","UOD II","Asphalt",0.8
"116","Western Star 57X","Highway","UOD II","Dirt",3
"117","Western Star 57X","Highway","UOD II","Mud",1.9
"118","Western Star 57X","Highway","UOD III","Asphalt",0.8
"119","Western Star 57X","Highway","UOD III","Dirt",3.2
"120","Western Star 57X","Highway","UOD III","Mud",1.5
"121","Caterpillar CT680","Heavy Duty","UHD I","Asphalt",3
"122","Caterpillar CT680","Heavy Duty","UHD I","Dirt",1
"123","Caterpillar CT680","Heavy Duty","UHD I","Mud",0.4
"124","Caterpillar CT680","Heavy Duty","UHD II","Asphalt",3
"125","Caterpillar CT680","Heavy Duty","UHD II","Dirt",1.2
"126","Caterpillar CT680","Heavy Duty","UHD II","Mud",0.2
"127","Caterpillar CT680","Heavy Duty","UHD III","Asphalt",3.2
"128","Caterpillar CT680","Heavy Duty","UHD III","Dirt",1
"129","Caterpillar CT680","Heavy Duty","UHD III","Mud",0.2
"130","Caterpillar CT680","Heavy Duty","UAD I","Asphalt",1.9
"131","Caterpillar CT680","Heavy Duty","UAD I","Dirt",1.5
"132","Caterpillar CT680","Heavy Duty","UAD I","Mud",1
"133","Caterpillar CT680","Heavy Duty","UAD II","Asphalt",1.5
"134","Caterpillar CT680","Heavy Duty","UAD II","Dirt",1.5
"135","Caterpillar CT680","Heavy Duty","UAD II","Mud",1.2
"136","Caterpillar CT680","Heavy Duty","UAD III","Asphalt",1.5
"137","Caterpillar CT680","Heavy Duty","UAD III","Dirt",1.7
"138","Caterpillar CT680","Heavy Duty","UAD III","Mud",1
"139","Caterpillar CT680","Heavy Duty","UAD III Chains","Asphalt",1.2
"140","Caterpillar CT680","Heavy Duty","UAD III Chains","Dirt",3
"141","Caterpillar CT680","Heavy Duty","UAD III Chains","Mud",1.3
"142","Caterpillar CT680","Heavy Duty","UOD I","Asphalt",1
"143","Caterpillar CT680","Heavy Duty","UOD I","Dirt",3
"144","Caterpillar CT680","Heavy Duty","UOD I","Mud",1.5
"145","Caterpillar CT680","Heavy Duty","UOD II","Asphalt",0.8
"146","Caterpillar CT680","Heavy Duty","UOD II","Dirt",3
"147","Caterpillar CT680","Heavy Duty","UOD II","Mud",1.9
"148","Caterpillar CT680","Heavy Duty","UOD III","Asphalt",0.8
"149","Caterpillar CT680","Heavy Duty","UOD III","Dirt",3.2
"150","Caterpillar CT680","Heavy Duty","UOD III","Mud",1.5
"151","Caterpillar CT681","Heavy Duty","UHD I","Asphalt",3
"152","Caterpillar CT681","Heavy Duty","UHD I","Dirt",1
"153","Caterpillar CT681","Heavy Duty","UHD I","Mud",0.4
"154","Caterpillar CT681","Heavy Duty","UHD II","Asphalt",3
"155","Caterpillar CT681","Heavy Duty","UHD II","Dirt",1.2
"156","Caterpillar CT681","Heavy Duty","UHD II","Mud",0.2
"157","Caterpillar CT681","Heavy Duty","UHD III","Asphalt",3.2
"158","Caterpillar CT681","Heavy Duty","UHD III","Dirt",1
"159","Caterpillar CT681","Heavy Duty","UHD III","Mud",0.2
"160","Caterpillar CT681","Heavy Duty","UAD I","Asphalt",1.9
"161","Caterpillar CT681","Heavy Duty","UAD I","Dirt",1.5
"162","Caterpillar CT681","Heavy Duty","UAD I","Mud",1
"163","Caterpillar CT681","Heavy Duty","UAD II","Asphalt",1.5
"164","Caterpillar CT681","Heavy Duty","UAD II","Dirt",1.5
"165","Caterpillar CT681","Heavy Duty","UAD II","Mud",1.2
"166","Caterpillar CT681","Heavy Duty","UAD III","Asphalt",1.5
"167","Caterpillar CT681","Heavy Duty","UAD III","Dirt",1.7
"168","Caterpillar CT681","Heavy Duty","UAD III","Mud",1
"169","Caterpillar CT681","Heavy Duty","UAD III Chains","Asphalt",1.2
"170","Caterpillar CT681","Heavy Duty","UAD III Chains","Dirt",3
